"Name","Code","year","co2emission"
"Middle East & North Africa (excluding high income)","MNA","1960",0.863165098810995
"Montenegro","MNE","1960",NA
"Mongolia","MNG","1960",1.35472969790844
"Northern Mariana Islands","MNP","1960",NA
"Mozambique","MOZ","1960",0.262334358497002
"Mauritania","MRT","1960",0.0431216956104536
"Mauritius","MUS","1960",0.272514942723982
"Malawi","MWI","1960",NA
"Malaysia","MYS","1960",NA
"North America","NAC","1960",15.5255287984268
"Namibia","NAM","1960",NA
"New Caledonia","NCL","1960",10.908164556962
"Niger","NER","1960",0.00865684361613851
"Nigeria","NGA","1960",0.0754709653573013
"Nicaragua","NIC","1960",0.299873838846469
"Netherlands","NLD","1960",6.3991796202037
"Norway","NOR","1960",3.65856369820612
"Nepal","NPL","1960",0.00798353298598226
"Nauru","NRU","1960",NA
"New Zealand","NZL","1960",4.86706973606544
"OECD members","OED","1960",7.2634348122783
"Oman","OMN","1960",NA
"Other small states","OSS","1960",0.630833328074216
"Pakistan","PAK","1960",0.314626187159484
"Panama","PAN","1960",0.880341254213383
"Peru","PER","1960",0.804897186267081
"Philippines","PHL","1960",0.317288747575442
"Palau","PLW","1960",1.50117695220551
"Papua New Guinea","PNG","1960",0.0796516980892866
"Poland","POL","1960",6.74036258180107
"Pre-demographic dividend","PRE","1960",0.157044298241324
"Puerto Rico","PRI","1960",NA
"Korea, Dem. People’s Rep.","PRK","1960",NA
"Portugal","PRT","1960",0.928578089430729
"Paraguay","PRY","1960",0.159854977620587
"West Bank and Gaza","PSE","1960",NA
"Pacific island small states","PSS","1960",0.376362636222925
"Post-demographic dividend","PST","1960",7.73247965912565
"French Polynesia","PYF","1960",0.469670577386137
"Qatar","QAT","1960",3.71467161911194
"Romania","ROU","1960",2.90381202054338
"Russian Federation","RUS","1960",NA
"Rwanda","RWA","1960",0.0362255252961764
"South Asia","SAS","1960",0.243502213340545
"Saudi Arabia","SAU","1960",0.655055537216211
"Sudan","SDN","1960",0.12978371368493
"Senegal","SEN","1960",0.258436815603591
"Singapore","SGP","1960",0.846367832847425
"Solomon Islands","SLB","1960",0.0933482676984955
"Sierra Leone","SLE","1960",0.308532055939759
"El Salvador","SLV","1960",0.224024011648672
"San Marino","SMR","1960",NA
"Somalia","SOM","1960",0.0306029959665773
"Serbia","SRB","1960",NA
"Sub-Saharan Africa (excluding high income)","SSA","1960",0.554956728009759
"South Sudan","SSD","1960",NA
"Sub-Saharan Africa","SSF","1960",0.554878405874491
"Small states","SST","1960",0.918155249677682
"Sao Tome and Principe","STP","1960",0.171083325557525
"Suriname","SUR","1960",1.50312466347774
"Slovak Republic","SVK","1960",NA
"Slovenia","SVN","1960",NA
"Sweden","SWE","1960",6.5764065843507
"Eswatini","SWZ","1960",0.0980530805180297
"Sint Maarten (Dutch part)","SXM","1960",NA
"Seychelles","SYC","1960",NA
"Syrian Arab Republic","SYR","1960",0.704774142934358
"Turks and Caicos Islands","TCA","1960",NA
"Chad","TCD","1960",0.0183251715996321
"East Asia & Pacific (IDA & IBRD countries)","TEA","1960",0.951089321865278
"Europe & Central Asia (IDA & IBRD countries)","TEC","1960",NA
"Togo","TGO","1960",0.0417623898063477
"Thailand","THA","1960",0.135585755146501
"Tajikistan","TJK","1960",NA
"Turkmenistan","TKM","1960",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1960",1.29914684621953
"Timor-Leste","TLS","1960",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","1960",0.862685004510669
"Tonga","TON","1960",0.178654367702226
"South Asia (IDA & IBRD)","TSA","1960",0.243502213340545
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1960",0.554878405874492
"Trinidad and Tobago","TTO","1960",3.0443772782109
"Tunisia","TUN","1960",0.4133699005992
"Turkey","TUR","1960",0.612271322306123
"Tuvalu","TUV","1960",NA
"Tanzania","TZA","1960",0.0824442368161564
"Uganda","UGA","1960",0.0623169912643461
"Ukraine","UKR","1960",NA
"Upper middle income","UMC","1960",1.68906203353596
"Uruguay","URY","1960",1.70158860462066
"United States","USA","1960",15.9997791565885
"Uzbekistan","UZB","1960",NA
"St. Vincent and the Grenadines","VCT","1960",0.135853390468899
"Venezuela, RB","VEN","1960",7.00941236754685
"British Virgin Islands","VGB","1960",NA
"Virgin Islands (U.S.)","VIR","1960",NA
"Vietnam","VNM","1960",0.229313500360376
"Vanuatu","VUT","1960",NA
"World","WLD","1960",3.09966846488933
"Samoa","WSM","1960",0.135028399414521
"Kosovo","XKX","1960",NA
"Yemen, Rep.","YEM","1960",0.683679076938417
"South Africa","ZAF","1960",5.72722136581395
"Zambia","ZMB","1960",NA
"Zimbabwe","ZWE","1960",NA
"Aruba","ABW","1961",NA
"Afghanistan","AFG","1961",0.0535888350504558
"Angola","AGO","1961",0.0822037967470503
"Albania","ALB","1961",1.37418604651163
"Andorra","AND","1961",NA
"Arab World","ARB","1961",0.68746537900017
"United Arab Emirates","ARE","1961",0.109141235763324
"Argentina","ARG","1961",2.45855142553302
"Armenia","ARM","1961",NA
"American Samoa","ASM","1961",NA
"Antigua and Barbuda","ATG","1961",0.866729695823712
"Australia","AUS","1961",8.64156901650291
"Austria","AUT","1961",4.49636164096378
"Azerbaijan","AZE","1961",NA
"Burundi","BDI","1961",NA
"Belgium","BEL","1961",10.1038719949198
"Benin","BEN","1961",0.0520486303600316
"Burkina Faso","BFA","1961",0.0187299012376956
"Bangladesh","BGD","1961",NA
"Bulgaria","BGR","1961",3.26992007420763
"Bahrain","BHR","1961",10.5492810940236
"Bahamas, The","BHS","1961",4.74616273312428
"Bosnia and Herzegovina","BIH","1961",NA
"Belarus","BLR","1961",NA
"Belize","BLZ","1961",0.387210542432658
"Bermuda","BMU","1961",3.86848351648352
"Bolivia","BOL","1961",0.279280786835164
"Brazil","BRA","1961",0.662130490630481
"Barbados","BRB","1961",0.838739329702483
"Brunei Darussalam","BRN","1961",3.55719828896005
"Bhutan","BTN","1961",NA
"Botswana","BWA","1961",NA
"Central African Republic","CAF","1961",0.0576698517626367
"Canada","CAN","1961",10.6278976520169
"Central Europe and the Baltics","CEB","1961",5.33053508694864
"Switzerland","CHE","1961",3.75182498407337
"Channel Islands","CHI","1961",NA
"Chile","CHL","1961",1.74301281664527
"China","CHN","1961",0.836046900792028
"Cote d'Ivoire","CIV","1961",0.15247388651632
"Cameroon","CMR","1961",0.0534263182124107
"Congo, Dem. Rep.","COD","1961",0.150781838171971
"Congo, Rep.","COG","1961",0.256626300430633
"Colombia","COL","1961",1.09958135084955
"Comoros","COM","1961",0.0566655849674718
"Cabo Verde","CPV","1961",0.107155902535955
"Costa Rica","CRI","1961",0.355766035347959
"Caribbean small states","CSS","1961",2.0599773985391
"Cuba","CUB","1961",1.67075021944262
"Curacao","CUW","1961",NA
"Cayman Islands","CYM","1961",1.37067032145527
"Cyprus","CYP","1961",1.50142176805836
"Czech Republic","CZE","1961",NA
"Germany","DEU","1961",NA
"Djibouti","DJI","1961",0.497231575854822
"Dominica","DMA","1961",0.180249705072749
"Denmark","DNK","1961",6.88126015490644
"Dominican Republic","DOM","1961",0.302508014608312
"Algeria","DZA","1961",0.535024402498902
"East Asia & Pacific (excluding high income)","EAP","1961",0.696521558613269
"Early-demographic dividend","EAR","1961",0.604161779295662
"East Asia & Pacific","EAS","1961",0.996779345901546
"Europe & Central Asia (excluding high income)","ECA","1961",NA
"Europe & Central Asia","ECS","1961",NA
"Ecuador","ECU","1961",0.352251265036888
"Egypt, Arab Rep.","EGY","1961",0.624427099714148
"Euro area","EMU","1961",NA
"Eritrea","ERI","1961",NA
"Spain","ESP","1961",1.74622171978822
"Estonia","EST","1961",NA
"Ethiopia","ETH","1961",0.0150424827703141
"European Union","EUU","1961",6.79432336974341
"Fragile and conflict affected situations","FCS","1961",0.196235835335184
"Finland","FIN","1961",3.34887721488768
"Fiji","FJI","1961",0.414198684342994
"France","FRA","1961",5.95275183437244
"Faroe Islands","FRO","1961",3.24087695290227
"Micronesia, Fed. Sts.","FSM","1961",NA
"Gabon","GAB","1961",0.326246196611698
"United Kingdom","GBR","1961",11.1541389204545
"Georgia","GEO","1961",NA
"Ghana","GHA","1961",0.196514460898662
"Gibraltar","GIB","1961",2.15588124133876
"Guinea","GIN","1961",0.173436015388232
"Gambia, The","GMB","1961",0.0590744942206232
"Guinea-Bissau","GNB","1961",0.0471063538018598
"Equatorial Guinea","GNQ","1961",0.0850184125413944
"Greece","GRC","1961",1.1697826281101
"Grenada","GRD","1961",0.200762096641738
"Greenland","GRL","1961",8.70504451038576
"Guatemala","GTM","1961",0.324742057630479
"Guam","GUM","1961",NA
"Guyana","GUY","1961",1.25080522812817
"High income","HIC","1961",7.56715024523687
"Hong Kong SAR, China","HKG","1961",1.0648780025883
"Honduras","HND","1961",0.351585496914009
"Heavily indebted poor countries (HIPC)","HPC","1961",0.125679014515253
"Croatia","HRV","1961",NA
"Haiti","HTI","1961",0.0753503854950755
"Hungary","HUN","1961",4.88332679749706
"IBRD only","IBD","1961",1.17414387356712
"IDA & IBRD total","IBT","1961",1.01562889308472
"IDA total","IDA","1961",0.222089513914351
"IDA blend","IDB","1961",0.386812945096118
"Indonesia","IDN","1961",0.288847534840632
"IDA only","IDX","1961",0.132465201860752
"Isle of Man","IMN","1961",NA
"India","IND","1961",0.28370370894933
"Not classified","INX","1961",NA
"Ireland","IRL","1961",4.37796487749611
"Iran, Islamic Rep.","IRN","1961",1.62549156215031
"Iraq","IRQ","1961",1.166517420589
"Iceland","ISL","1961",6.10384909707366
"Israel","ISR","1961",3.23568695652174
"Italy","ITA","1961",2.46455580982798
"Jamaica","JAM","1961",1.29038934074992
"Jordan","JOR","1961",1.00523723084884
"Japan","JPN","1961",2.98197938763258
"Kazakhstan","KAZ","1961",NA
"Kenya","KEN","1961",0.286699947097627
"Kyrgyz Republic","KGZ","1961",NA
"Cambodia","KHM","1961",0.0487021378976143
"Kiribati","KIR","1961",0.173672121054252
"St. Kitts and Nevis","KNA","1961",0.429793717768401
"Korea, Rep.","KOR","1961",0.561314583166525
"Kuwait","KWT","1961",33.2081536782711
"Latin America & Caribbean (excluding high income)","LAC","1961",1.27724858459703
"Lao PDR","LAO","1961",0.0523774111385108
"Lebanon","LBN","1961",1.43956701074053
"Liberia","LBR","1961",0.141248111270049
"Libya","LBY","1961",0.79798754531661
"St. Lucia","LCA","1961",0.202114290753561
"Latin America & Caribbean","LCN","1961",1.31768879334
"Least developed countries: UN classification","LDC","1961",0.0976299239462028
"Low income","LIC","1961",0.181730074789388
"Liechtenstein","LIE","1961",NA
"Sri Lanka","LKA","1961",0.23100898499422
"Lower middle income","LMC","1961",0.398360270408347
"Low & middle income","LMY","1961",0.905871493254349
"Lesotho","LSO","1961",NA
"Late-demographic dividend","LTE","1961",1.4787358615721
"Lithuania","LTU","1961",NA
"Luxembourg","LUX","1961",36.5837775568496
"Latvia","LVA","1961",NA
"Macao SAR, China","MAC","1961",0.408730391524211
"St. Martin (French part)","MAF","1961",NA
"Morocco","MAR","1961",0.29715478781025
"Monaco","MCO","1961",NA
"Moldova","MDA","1961",NA
"Madagascar","MDG","1961",0.0680950262349413
"Maldives","MDV","1961",NA
"Middle East & North Africa","MEA","1961",0.994786956209579
"Mexico","MEX","1961",1.67596132900902
"Marshall Islands","MHL","1961",NA
"Middle income","MIC","1961",0.960378641754573
"North Macedonia","MKD","1961",NA
"Mali","MLI","1961",0.0220477518410391
"Malta","MLT","1961",0.9019523443505
"Myanmar","MMR","1961",0.116721271708903
"Middle East & North Africa (excluding high income)","MNA","1961",0.845167519118157
"Montenegro","MNE","1961",NA
"Mongolia","MNG","1961",1.41874487109261
"Northern Mariana Islands","MNP","1961",NA
"Mozambique","MOZ","1961",0.358603404388738
"Mauritania","MRT","1961",0.0544449913828646
"Mauritius","MUS","1961",0.274719172920734
"Malawi","MWI","1961",NA
"Malaysia","MYS","1961",NA
"North America","NAC","1961",15.2215330668416
"Namibia","NAM","1961",NA
"New Caledonia","NCL","1961",10.9287438423645
"Niger","NER","1961",0.0157773541544881
"Nigeria","NGA","1961",0.089319490982493
"Nicaragua","NIC","1961",0.30662244272256
"Netherlands","NLD","1961",6.52035766500623
"Norway","NOR","1961",3.69869438750069
"Nepal","NPL","1961",0.00785739998503983
"Nauru","NRU","1961",NA
"New Zealand","NZL","1961",4.86316609497045
"OECD members","OED","1961",7.29965759197779
"Oman","OMN","1961",NA
"Other small states","OSS","1961",0.772538751587442
"Pakistan","PAK","1961",0.318179214166971
"Panama","PAN","1961",0.945724192944471
"Peru","PER","1961",0.827360332815782
"Philippines","PHL","1961",0.321187655247605
"Palau","PLW","1961",5.10876704149667
"Papua New Guinea","PNG","1961",0.0878014017053981
"Poland","POL","1961",6.92280256307569
"Pre-demographic dividend","PRE","1961",0.1637898085701
"Puerto Rico","PRI","1961",NA
"Korea, Dem. People’s Rep.","PRK","1961",NA
"Portugal","PRT","1961",1.01805031874782
"Paraguay","PRY","1961",0.185737572062697
"West Bank and Gaza","PSE","1961",NA
"Pacific island small states","PSS","1961",0.391633852851805
"Post-demographic dividend","PST","1961",7.77417389828471
"French Polynesia","PYF","1961",0.726984362996555
"Qatar","QAT","1961",3.13778417378114
"Romania","ROU","1961",3.00589159402325
"Russian Federation","RUS","1961",NA
"Rwanda","RWA","1961",0.0464746149933713
"South Asia","SAS","1961",0.256635834343314
"Saudi Arabia","SAU","1961",0.84659456018022
"Sudan","SDN","1961",0.128810195636166
"Senegal","SEN","1961",0.247042586391801
"Singapore","SGP","1961",1.22994419642857
"Solomon Islands","SLB","1961",0.120845622765246
"Sierra Leone","SLE","1961",0.12314978598116
"El Salvador","SLV","1961",0.204824351858357
"San Marino","SMR","1961",NA
"Somalia","SOM","1961",0.0312737418971059
"Serbia","SRB","1961",NA
"Sub-Saharan Africa (excluding high income)","SSA","1961",0.567137499796822
"South Sudan","SSD","1961",NA
"Sub-Saharan Africa","SSF","1961",0.567056945995391
"Small states","SST","1961",1.25055597856574
"Sao Tome and Principe","STP","1961",0.170288845546578
"Suriname","SUR","1961",1.44986752997472
"Slovak Republic","SVK","1961",NA
"Slovenia","SVN","1961",NA
"Sweden","SWE","1961",6.49624827027879
"Eswatini","SWZ","1961",0.0106802196041882
"Sint Maarten (Dutch part)","SXM","1961",NA
"Seychelles","SYC","1961",NA
"Syrian Arab Republic","SYR","1961",0.649233274091594
"Turks and Caicos Islands","TCA","1961",NA
"Chad","TCD","1961",0.0167751067845436
"East Asia & Pacific (IDA & IBRD countries)","TEA","1961",0.695385204512387
"Europe & Central Asia (IDA & IBRD countries)","TEC","1961",NA
"Togo","TGO","1961",0.0573856074955901
"Thailand","THA","1961",0.146944073180921
"Tajikistan","TJK","1961",NA
"Turkmenistan","TKM","1961",NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1961",1.29987185266669
"Timor-Leste","TLS","1961",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","1961",0.844697435110696
"Tonga","TON","1961",0.172659499332967
"South Asia (IDA & IBRD)","TSA","1961",0.256635834343314
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1961",0.567056945995392
"Trinidad and Tobago","TTO","1961",5.32144913727513
"Tunisia","TUN","1961",0.417044544519745
"Turkey","TUR","1961",0.616879259570589
"Tuvalu","TUV","1961",NA
"Tanzania","TZA","1961",0.068047223186298
"Uganda","UGA","1961",0.0582828762147009
"Ukraine","UKR","1961",NA
"Upper middle income","UMC","1961",1.40520976229874
"Uruguay","URY","1961",1.60272910987016
"United States","USA","1961",15.6812555160569
"Uzbekistan","UZB","1961",NA
"St. Vincent and the Grenadines","VCT","1961",0.133882607796127
"Venezuela, RB","VEN","1961",6.15319125691219
"British Virgin Islands","VGB","1961",NA
"Virgin Islands (U.S.)","VIR","1961",NA
"Vietnam","VNM","1961",0.237233407720702
"Vanuatu","VUT","1961",NA
"World","WLD","1961",3.07052963526506
"Samoa","WSM","1961",0.163552027117435
"Kosovo","XKX","1961",NA
"Yemen, Rep.","YEM","1961",0.494324347176618
"South Africa","ZAF","1961",5.83262093203853
"Zambia","ZMB","1961",NA
"Zimbabwe","ZWE","1961",NA
"Aruba","ABW","1962",NA
"Afghanistan","AFG","1962",0.0737208308323819
"Angola","AGO","1962",0.210531477092341
"Albania","ALB","1962",1.43995596379167
"Andorra","AND","1962",NA
"Arab World","ARB","1962",0.76357363420586
"United Arab Emirates","ARE","1962",0.163533063379654
"Argentina","ARG","1962",2.53844603606137
"Armenia","ARM","1962",NA
"American Samoa","ASM","1962",NA
"Antigua and Barbuda","ATG","1962",1.83872065328343
"Australia","AUS","1962",8.83568804691864
"Austria","AUT","1962",4.75536167309783
"Azerbaijan","AZE","1962",NA
"Burundi","BDI","1962",0.0151355835836497
"Belgium","BEL","1962",10.6411896304115
"Benin","BEN","1962",0.0542088045208431
"Burkina Faso","BFA","1962",0.0170031163274349
"Bangladesh","BGD","1962",NA
"Bulgaria","BGR","1962",3.83589181806542
"Bahrain","BHR","1962",9.19164394954489
"Bahamas, The","BHS","1962",5.99603603901198
"Bosnia and Herzegovina","BIH","1962",NA
"Belarus","BLR","1962",NA
"Belize","BLZ","1962",0.715446069169473
"Bermuda","BMU","1962",3.38371244635193
"Bolivia","BOL","1962",0.289272388304992
"Brazil","BRA","1962",0.701775502752896
"Barbados","BRB","1962",1.11917483761977
"Brunei Darussalam","BRN","1962",4.13905745353762
"Bhutan","BTN","1962",NA
"Botswana","BWA","1962",NA
"Central African Republic","CAF","1962",0.0472578951098968
"Canada","CAN","1962",11.1306274846889
"Central Europe and the Baltics","CEB","1962",5.65855011814692
"Switzerland","CHE","1962",4.33357206868186
"Channel Islands","CHI","1962",NA
"Chile","CHL","1962",1.97303175914489
"China","CHN","1962",0.661428164381093
"Cote d'Ivoire","CIV","1962",0.155597032539277
"Cameroon","CMR","1962",0.0536594817039344
"Congo, Dem. Rep.","COD","1962",0.135559207265795
"Congo, Rep.","COG","1962",0.222920434926555
"Colombia","COL","1962",1.13745552397783
"Comoros","COM","1962",0.0557865698435075
"Cabo Verde","CPV","1962",0.0872505258349116
"Costa Rica","CRI","1962",0.383755367726317
"Caribbean small states","CSS","1962",2.70373812369821
"Cuba","CUB","1962",1.90101455147487
"Curacao","CUW","1962",NA
"Cayman Islands","CYM","1962",1.35047876258286
"Cyprus","CYP","1962",1.56787798321248
"Czech Republic","CZE","1962",NA
"Germany","DEU","1962",NA
"Djibouti","DJI","1962",0.506040083223642
"Dominica","DMA","1962",0.177487012358427
"Denmark","DNK","1962",7.9451073610821
"Dominican Republic","DOM","1962",0.353054997162752
"Algeria","DZA","1962",0.487888633119182
"East Asia & Pacific (excluding high income)","EAP","1962",0.56224260526221
"Early-demographic dividend","EAR","1962",0.624157307092672
"East Asia & Pacific","EAS","1962",0.895692460071655
"Europe & Central Asia (excluding high income)","ECA","1962",NA
"Europe & Central Asia","ECS","1962",NA
"Ecuador","ECU","1962",0.325586100476982
"Egypt, Arab Rep.","EGY","1962",0.661467973256931
"Euro area","EMU","1962",NA
"Eritrea","ERI","1962",NA
"Spain","ESP","1962",1.93578153318373
"Estonia","EST","1962",NA
"Ethiopia","ETH","1962",0.0170547937507097
"European Union","EUU","1962",7.12349267975881
"Fragile and conflict affected situations","FCS","1962",0.20230971347191
"Finland","FIN","1962",3.74256736643435
"Fiji","FJI","1962",0.547878054853972
"France","FRA","1962",6.23540868291969
"Faroe Islands","FRO","1962",3.30323161806103
"Micronesia, Fed. Sts.","FSM","1962",NA
"Gabon","GAB","1962",0.172130329932113
"United Kingdom","GBR","1962",11.1429283943662
"Georgia","GEO","1962",NA
"Ghana","GHA","1962",0.202743619847989
"Gibraltar","GIB","1962",2.26236992555423
"Guinea","GIN","1962",0.182769756791564
"Gambia, The","GMB","1962",0.0675688481523793
"Guinea-Bissau","GNB","1962",0.0641407066179242
"Equatorial Guinea","GNQ","1962",0.0839069632635316
"Greece","GRC","1962",1.20320119011869
"Grenada","GRD","1962",0.277550711474417
"Greenland","GRL","1962",7.54354285714286
"Guatemala","GTM","1962",0.309673362753735
"Guam","GUM","1962",NA
"Guyana","GUY","1962",1.11893746340417
"High income","HIC","1962",7.81770122537272
"Hong Kong SAR, China","HKG","1962",1.11501119448142
"Honduras","HND","1962",0.324912659633048
"Heavily indebted poor countries (HIPC)","HPC","1962",0.122926272143199
"Croatia","HRV","1962",NA
"Haiti","HTI","1962",0.0757272702618175
"Hungary","HUN","1962",5.02503803022421
"IBRD only","IBD","1962",1.11623705517255
"IDA & IBRD total","IBT","1962",0.968012079479883
"IDA total","IDA","1962",0.23498487064302
"IDA blend","IDB","1962",0.415336916731484
"Indonesia","IDN","1962",0.24855339820758
"IDA only","IDX","1962",0.138178979659348
"Isle of Man","IMN","1962",NA
"India","IND","1962",0.305850958133351
"Not classified","INX","1962",NA
"Ireland","IRL","1962",4.62633804058462
"Iran, Islamic Rep.","IRN","1962",1.62375105190146
